id,year,application_type,core_or_adjacent,source_analogue,target,ai_role,representation,output,main_advance,main_gap,url
"past-meets-present",2025,"historical analogue acquisition",core,"past historical event","current/unfamiliar event","retrieve/generate candidate historical analogues + self-reflection","topic;background;process;result + abstract/literal similarity","candidate/ranked historical analogue","establishes historical analogy acquisition as an explicit LLM task; free generation and reflection improve candidate quality","no mechanism-level transfer licensing or claim-level veto",https://aclanthology.org/2025.acl-long.200/
"adr-cana",2026,"mechanism-based historical foresight",core,"multiple historical events","partially observed current/historical target event","structural decomposition; mechanism retrieval; per-analogy limitations; cross-analogy integration","descriptive surface + causal/mechanistic graph + structural positions","hidden factors; conditional trajectories; foresight analysis; analogy limitations","moves from historical-parallel generation to causal role alignment; explicitly scores where analogies break and differentiates which insight comes from which precedent","limitations are mostly advisory context rather than projection-by-projection executable veto/conditional license; small benchmark; contested mechanisms; independence assumptions",https://arxiv.org/abs/2607.13602
"tsvetkova",2026,"detecting actor-used historical analogies",core-application,"past events invoked by political leaders","current foreign-policy situation","screen corpus for past→present mappings; functional classify","explicit analogy in actor-authored documents; cognitive/rhetorical/signaling labels","policy-intent signal for expert analysis","turns historical analogy into a detectable feature of elite decision discourse across ~1100 documents","correlative marker only; does not establish causal influence or analogy validity",https://doi.org/10.1057/s41599-026-06930-9
"sen-strategy",2026,"strategic precedent decision support",adjacent,"prior source problems/cases","business target problem","generate/retrieve and match analogical source","causal schema in controlled source-target tasks","candidate solution / strategy","shows high-recall low-precision LLM profile and plausible human-AI division of labor","not specifically historical; matching/adjudication remains weak",https://doi.org/10.1287/stsc.2025.0426
"shape-finder-conflict",2025,"historical conflict-trajectory forecasting",adjacent-application,"past armed-conflict fatality trajectories","current conflict trajectory","DTW retrieval of historical sequences; propagate their realized futures; aggregate as predictive distribution","time-series shape / conflict trajectory","1–6 month fatality forecast + uncertainty intervals + analogue scenarios","makes historical precedent retrieval operational and out-of-sample testable across country/region/time boundaries; especially useful for volatile conflicts","predictive trajectory similarity does not establish common political/causal mechanism",https://doi.org/10.1177/00223433251330790
"hal-net",2026,"historical epidemic-pattern forecasting",adjacent,"past epidemic time-series patterns","current epidemic trajectory","DTW-based historical analogue selection + deep forecast model","temporal pattern / historical lag","long-range pandemic forecast","quantitative evidence that historical precedent retrieval can improve predictive accuracy and interpretability","pattern analogy rather than event/mechanism-level historical analogy",https://doi.org/10.1016/j.eswa.2025.130038
"dual-ml-forecast",2025,"historical-episode interpretation of ML forecasts",adjacent,"past macroeconomic observations/episodes","current macroeconomic forecast","rewrite prediction as weighted combination of historical observations via model dual representation","proximity weights over historical time points","interpretable inflation/GDP/recession forecast as portfolio of historical analogies","makes historical analogies mathematically explicit inside standard ML forecasting models across ridge/RF/boosting/NN","analogy is proximity in predictor space; no event-level causal mapping or transfer adjudication",https://arxiv.org/abs/2412.13076
"history-rhymes-finance",2025,"macro-contextual historical precedent retrieval",adjacent-application,"earlier financial-news periods under similar macro regimes","current asset/market target","joint text+macro embedding; temporally safe retrieval of prior regimes","news semantics + CPI/unemployment/yield spread/GDP context","OOD financial forecast with retrieved historical precedent chain","reports positive OOD trading outcomes on both AAPL and XOM where tested baselines fail to do so consistently; makes precedent retrieval visible","time-safe/macro similarity is not proof of causal or structural equivalence",https://arxiv.org/abs/2511.09754
"anre-tkg",2025,"analogical replay for event forecasting",adjacent,"semantically similar prior events in temporal knowledge graph","future entity/event query","analogy retrieval + short/long history + LLM-generated analogical reasoning examples","textualized knowledge-graph events and dual-history context","future entity prediction","shows analogical replay can improve temporal event forecasting; ACL 2025 reports large Hit@1 gains over LLM baselines on several ICEWS/GDELT datasets","event-graph replay is not yet rich historical precedent reasoning; relation validity is benchmark-defined",https://aclanthology.org/2025.acl-long.231/
"inflation-experience-priors",2026,"historical experience as forecasting prior",adjacent-application,"professional experience across past inflation regimes","2021 inflation forecast problem","condition LLM forecasters on experienced vs young professional priors under common leakage assumption","experience-conditioned prior / regime memory","counterfactual forecast distribution","finds source of historical/experiential prior matters more than model sophistication across exercises","persona conditioning is not explicit source-case retrieval and inherits training-contamination assumptions",https://ideas.repec.org/p/cir/cirwor/2026s-06.html
"larraz-corma",2026,"historically bounded analogical rediscovery",adjacent,"cross-domain technical precedents in pre-1936 literature","FCC technical problem before later breakthrough","human-guided analogy activation + RAG + representation intervention","temporally bounded scientific knowledge","technical solution generation","uses historical cutoff as an experimental test of analogy-enabled rediscovery","not historical-event analogy; pretrained model may contain post-cutoff latent knowledge",https://doi.org/10.1038/s41467-026-70873-7
